,PROP_OBJECT_NAME,BACNET_APPLICATION_TAG_CHARACTER_STRING
116,OBJECT_ANALOG_INPUT_3000855,NAE02/FC-1.NAE2-T1-FEC76.ZN1-T
117,OBJECT_ANALOG_INPUT_3000871,NAE02/FC-1.NAE2-T1-FEC77.ZN2-T
118,OBJECT_ANALOG_INPUT_3000873,NAE02/FC-1.NAE2-T1-FEC77.ZN1-T
119,OBJECT_ANALOG_INPUT_3000889,NAE02/FC-1.NAE2-T1-FEC78.ZN2-T
120,OBJECT_ANALOG_INPUT_3000891,NAE02/FC-1.NAE2-T1-FEC78.ZN1-T
121,OBJECT_ANALOG_INPUT_3000907,NAE02/FC-1.NAE2-T1-FEC79.ZN2-T
122,OBJECT_ANALOG_INPUT_3000909,NAE02/FC-1.NAE2-T1-FEC79.ZN1-T
123,OBJECT_ANALOG_INPUT_3000925,NAE02/FC-1.NAE2-T1-FEC80.ZN2-T
124,OBJECT_ANALOG_INPUT_3000927,NAE02/FC-1.NAE2-T1-FEC80.ZN1-T
125,OBJECT_ANALOG_INPUT_3000943,NAE02/FC-1.NAE2-T1-FEC81.ZN2-T
126,OBJECT_ANALOG_INPUT_3000945,NAE02/FC-1.NAE2-T1-FEC81.ZN1-T
127,OBJECT_ANALOG_INPUT_3000961,NAE02/FC-1.NAE2-T1-FEC56.ZN2-T
128,OBJECT_ANALOG_INPUT_3000963,NAE02/FC-1.NAE2-T1-FEC56.ZN1-T
129,OBJECT_ANALOG_INPUT_3000979,NAE02/FC-1.NAE2-T1-FEC57.ZN2-T
130,OBJECT_ANALOG_INPUT_3000981,NAE02/FC-1.NAE2-T1-FEC57.ZN1-T
131,OBJECT_ANALOG_INPUT_3000997,NAE02/FC-1.NAE2-T1-FEC58.ZN2-T
132,OBJECT_ANALOG_INPUT_3000999,NAE02/FC-1.NAE2-T1-FEC58.ZN1-T
133,OBJECT_ANALOG_INPUT_3001015,NAE02/FC-1.NAE2-T1-FEC59.ZN2-T
134,OBJECT_ANALOG_INPUT_3001017,NAE02/FC-1.NAE2-T1-FEC59.ZN1-T
135,OBJECT_ANALOG_INPUT_3001033,NAE02/FC-1.NAE2-T1-FEC60.ZN2-T
136,OBJECT_ANALOG_INPUT_3001035,NAE02/FC-1.NAE2-T1-FEC60.ZN1-T
137,OBJECT_ANALOG_INPUT_3001051,NAE02/FC-1.NAE2-T1-FEC61.ZN2-T
138,OBJECT_ANALOG_INPUT_3001053,NAE02/FC-1.NAE2-T1-FEC61.ZN1-T
139,OBJECT_ANALOG_INPUT_3001069,NAE02/FC-1.NAE2-T1-FEC62.ZN2-T
140,OBJECT_ANALOG_INPUT_3001071,NAE02/FC-1.NAE2-T1-FEC62.ZN1-T
141,OBJECT_ANALOG_INPUT_3001087,NAE02/FC-1.NAE2-T1-FEC63.ZN2-T
142,OBJECT_ANALOG_INPUT_3001089,NAE02/FC-1.NAE2-T1-FEC63.ZN1-T
143,OBJECT_ANALOG_INPUT_3001105,NAE02/FC-1.NAE2-T1-FEC64.ZN2-T
144,OBJECT_ANALOG_INPUT_3001107,NAE02/FC-1.NAE2-T1-FEC64.ZN1-T
