,PROP_OBJECT_NAME,BACNET_APPLICATION_TAG_CHARACTER_STRING
123,OBJECT_ANALOG_INPUT_3001752,NAE08/FC-1.7-UP-92.ZN2-T
124,OBJECT_ANALOG_INPUT_3001754,NAE08/FC-1.7-UP-92.ZN3-T
125,OBJECT_ANALOG_INPUT_3002154,NAE08/FC-1.NAE8-T1-FEC66.ZN1-T
126,OBJECT_ANALOG_INPUT_3002175,NAE08/FC-1.8-UP-100.ZN3-T
127,OBJECT_ANALOG_INPUT_3002176,NAE08/FC-1.8-UP-100.ZN2-T
128,OBJECT_ANALOG_INPUT_3002465,NAE08/FC-1.9-UP-88.DA-VP
129,OBJECT_ANALOG_INPUT_3002526,NAE08/FC-1.8-UP-101.ZN1-T
130,OBJECT_ANALOG_INPUT_3002560,NAE08/FC-1.7-UP-91.ZNA-CO2
131,OBJECT_ANALOG_INPUT_3002586,NAE08/FC-1.NAE8-T1-FEC64.ZN3-T
132,OBJECT_ANALOG_INPUT_3002617,NAE08/FC-1.7-UP-93.ZN1-T
133,OBJECT_ANALOG_INPUT_3003417,NAE08/FC-1.9-UP-89.DA-VP
134,OBJECT_ANALOG_INPUT_3003418,NAE08/FC-1.9-UP-89.ZN-T
135,OBJECT_ANALOG_INPUT_3003804,NAE08/FC-1.8-UP-102.ZN1-T
136,OBJECT_ANALOG_OUTPUT_3000049,NAE08/FC-1.NAE08-T1-FEC70.SUPHTG2-%
137,OBJECT_ANALOG_OUTPUT_3000050,NAE08/FC-1.NAE08-T1-FEC70.ZN2-DAD-%
138,OBJECT_ANALOG_OUTPUT_3000051,NAE08/FC-1.NAE08-T1-FEC70.SUPHTG1-%
139,OBJECT_ANALOG_OUTPUT_3000053,NAE08/FC-1.NAE08-T1-FEC70.DAD1-O
140,OBJECT_ANALOG_OUTPUT_3000066,NAE08/FC-1.NAE8-T1-FEC71.SUPHTG2-%
141,OBJECT_ANALOG_OUTPUT_3000067,NAE08/FC-1.NAE8-T1-FEC71.ZN2-DAD-%
142,OBJECT_ANALOG_OUTPUT_3000068,NAE08/FC-1.NAE8-T1-FEC71.SUPHTG1-%
