,PROP_OBJECT_NAME,BACNET_APPLICATION_TAG_CHARACTER_STRING
94,OBJECT_ANALOG_INPUT_3000654,NAE03/FC-1.NAE3-T1-FEC37.ZN2-T
95,OBJECT_ANALOG_INPUT_3000656,NAE03/FC-1.NAE3-T1-FEC37.ZN1-T
96,OBJECT_ANALOG_INPUT_3000672,NAE03/FC-1.NAE3-T1-FEC38.ZN2-T
97,OBJECT_ANALOG_INPUT_3000674,NAE03/FC-1.NAE3-T1-FEC38.ZN1-T
98,OBJECT_ANALOG_INPUT_3000690,NAE03/FC-1.NAE3-T1-FEC39.ZN2-T
99,OBJECT_ANALOG_INPUT_3000692,NAE03/FC-1.NAE3-T1-FEC39.ZN1-T
100,OBJECT_ANALOG_INPUT_3000708,NAE03/FC-1.NAE3-T1-FEC40.ZN2-T
101,OBJECT_ANALOG_INPUT_3000710,NAE03/FC-1.NAE3-T1-FEC40.ZN1-T
102,OBJECT_ANALOG_INPUT_3000726,NAE03/FC-1.NAE3-T1-FEC41.ZN2-T
103,OBJECT_ANALOG_INPUT_3000728,NAE03/FC-1.NAE3-T1-FEC41.ZN1-T
104,OBJECT_ANALOG_INPUT_3000744,NAE03/FC-1.NAE3-T1-FEC42.ZN2-T
105,OBJECT_ANALOG_INPUT_3000746,NAE03/FC-1.NAE3-T1-FEC42.ZN1-T
106,OBJECT_ANALOG_INPUT_3000762,NAE03/FC-1.NAE3-T1-FEC17.ZN2-T
107,OBJECT_ANALOG_INPUT_3000764,NAE03/FC-1.NAE3-T1-FEC17.ZN1-T
108,OBJECT_ANALOG_INPUT_3000780,NAE03/FC-1.NAE3-T1-FEC18.ZN2-T
109,OBJECT_ANALOG_INPUT_3000782,NAE03/FC-1.NAE3-T1-FEC18.ZN1-T
110,OBJECT_ANALOG_INPUT_3000798,NAE03/FC-1.NAE3-T1-FEC19.ZN2-T
111,OBJECT_ANALOG_INPUT_3000800,NAE03/FC-1.NAE3-T1-FEC19.ZN1-T
112,OBJECT_ANALOG_INPUT_3000816,NAE03/FC-1.NAE3-T1-FEC20.ZN2-T
113,OBJECT_ANALOG_INPUT_3000818,NAE03/FC-1.NAE3-T1-FEC20.ZN1-T
114,OBJECT_ANALOG_INPUT_3000834,NAE03/FC-1.NAE3-T1-FEC21.ZN2-T
115,OBJECT_ANALOG_INPUT_3000836,NAE03/FC-1.NAE3-T1-FEC21.ZN1-T
116,OBJECT_ANALOG_INPUT_3000852,NAE03/FC-1.NAE3-T1-FEC22.ZN2-T
117,OBJECT_ANALOG_INPUT_3000854,NAE03/FC-1.NAE3-T1-FEC22.ZN1-T
118,OBJECT_ANALOG_INPUT_3000870,NAE03/FC-1.NAE3-T1-FEC23.ZN2-T
119,OBJECT_ANALOG_INPUT_3000872,NAE03/FC-1.NAE3-T1-FEC23.ZN1-T
120,OBJECT_ANALOG_INPUT_3000888,NAE03/FC-1.NAE3-T1-FEC24.ZN2-T
121,OBJECT_ANALOG_INPUT_3000890,NAE03/FC-1.NAE3-T1-FEC24.ZN1-T
122,OBJECT_ANALOG_INPUT_3000906,NAE03/FC-1.NAE3-T1-FEC25.ZN2-T
123,OBJECT_ANALOG_INPUT_3000908,NAE03/FC-1.NAE3-T1-FEC25.ZN1-T
124,OBJECT_ANALOG_INPUT_3000924,NAE03/FC-1.NAE3-T1-FEC26.ZN2-T
125,OBJECT_ANALOG_INPUT_3000926,NAE03/FC-1.NAE3-T1-FEC26.ZN1-T
126,OBJECT_ANALOG_INPUT_3000942,NAE03/FC-1.NAE3-T1-FEC27.ZN2-T
127,OBJECT_ANALOG_INPUT_3000944,NAE03/FC-1.NAE3-T1-FEC27.ZN1-T
128,OBJECT_ANALOG_INPUT_3000955,NAE03/FC-1.NAE3-T1-FEC28.FLOOR-P1
129,OBJECT_ANALOG_INPUT_3000958,NAE03/FC-1.NAE3-T1-FEC28.FLOOR-P2
130,OBJECT_ANALOG_INPUT_3000969,NAE03/FC-1.NAE3-T1-FEC28.RA-CO2A
131,OBJECT_ANALOG_INPUT_3000970,NAE03/FC-1.NAE3-T1-FEC28.RA-CO2B
132,OBJECT_ANALOG_INPUT_3000971,NAE03/FC-1.NAE3-T1-FEC28.RA-CO2C
133,OBJECT_ANALOG_INPUT_3000972,NAE03/FC-1.NAE3-T1-FEC28.RA-CO2D
134,OBJECT_ANALOG_INPUT_3000973,NAE03/FC-1.NAE3-T1-FEC28.RA-CO2E
135,OBJECT_ANALOG_INPUT_3000975,NAE03/FC-1.NAE3-T1-FEC28.SA-T
136,OBJECT_ANALOG_INPUT_3000978,NAE03/FC-1.NAE3-T1-FEC28.ZN1-T
137,OBJECT_ANALOG_INPUT_3000980,NAE03/FC-1.NAE3-T1-FEC28.ZN2-T
138,OBJECT_ANALOG_INPUT_3000982,NAE03/FC-1.NAE3-T1-FEC28.ZN3-T
139,OBJECT_ANALOG_INPUT_3000984,NAE03/FC-1.NAE3-T1-FEC28.ZN4-T
140,OBJECT_ANALOG_INPUT_3000991,NAE03/FC-1.NAE3-T1-FEC28.OA-F
141,OBJECT_ANALOG_INPUT_3001010,NAE03/FC-1.NAE3-T1-FEC10.ZN2-T
142,OBJECT_ANALOG_INPUT_3001012,NAE03/FC-1.NAE3-T1-FEC10.ZN1-T
143,OBJECT_ANALOG_INPUT_3001028,NAE03/FC-1.NAE3-T1-FEC11.ZN2-T
144,OBJECT_ANALOG_INPUT_3001030,NAE03/FC-1.NAE3-T1-FEC11.ZN1-T
